route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::84BC1172-DFEB-400B-9E16-D463DA9A393C:,000018,OCESN2237F2403232:2023-10-09T00:43:50Z,2237,1,170,
FR:Line::84BC1172-DFEB-400B-9E16-D463DA9A393C:,000068,OCESN2237F2415407:2023-10-09T00:43:50Z,2237,1,171,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000006,OCESN2239F2173963:2023-10-04T00:41:06Z,2239,1,172,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000074,OCESN2239F2346865:2023-10-09T00:43:50Z,2239,1,173,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000048,OCESN2239F2376342:2023-10-09T00:43:50Z,2239,1,174,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000001,OCESN2239F2380116:2023-10-09T00:43:50Z,2239,1,175,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000005,OCESN2239F2380178:2023-10-09T00:43:50Z,2239,1,176,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000068,OCESN2239F2380179:2023-10-09T00:43:50Z,2239,1,177,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000081,OCESN2239F2380647:2023-10-09T00:43:50Z,2239,1,178,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000010,OCESN2239F2406049:2023-10-09T00:43:50Z,2239,1,179,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000045,OCESN2239F2406050:2023-10-09T00:43:50Z,2239,1,180,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000070,OCESN2239F2406051:2023-10-09T00:43:50Z,2239,1,181,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000029,OCESN2239F2422317:2023-10-09T00:43:50Z,2239,1,182,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000082,OCESN2239F2425559:2023-10-13T00:46:55Z,2239,1,183,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000077,OCESN2239F2425560:2023-10-09T00:43:50Z,2239,1,184,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000083,OCESN2239F2425562:2023-10-09T00:43:50Z,2239,1,185,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000050,OCESN2239F2425761:2023-10-09T00:43:50Z,2239,1,186,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000018,OCESN2239F2457370:2023-10-09T00:43:50Z,2239,1,187,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000084,OCESN2239F2479531:2023-10-09T00:43:50Z,2239,1,188,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000085,OCESN2239F2479941:2023-10-09T00:43:50Z,2239,1,189,
FR:Line::84BC1172-DFEB-400B-9E16-D463DA9A393C:,000021,OCESN2241F2142452:2023-10-09T00:43:50Z,2241,1,190,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000009,OCESN2242F2121827:2023-10-13T00:46:55Z,2242,0,191,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000006,OCESN2242F2173473:2023-10-04T09:03:30Z,2242,0,192,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000086,OCESN2242F2184608:2023-10-04T09:03:30Z,2242,0,193,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000014,OCESN2242F2206665:2023-10-03T00:24:35Z,2242,0,194,
