trip_id,duration,start_station,end_station
OCESN8900F1961642:2023-10-13T00:46:55Z,171.0,Saint-Nazaire,Paris Montparnasse Hall 1 - 2
OCESN8901F1987766:2023-10-11T00:54:01Z,156.0,Paris Montparnasse Hall 1 - 2,Saint-Nazaire
OCESN8912F1678768:2023-10-09T00:43:50Z,210.0,Le Croisic,Paris Montparnasse Hall 1 - 2
OCESN8913F1912138:2023-10-12T00:48:35Z,204.0,Paris Montparnasse Hall 1 - 2,Le Croisic
OCESN8970F1988657:2023-10-12T00:48:35Z,205.0,Les Sables-d'Olonne,Paris Montparnasse Hall 1 - 2
OCESN8973F1987572:2023-10-13T00:46:55Z,215.0,Paris Montparnasse Hall 1 - 2,Les Sables-d'Olonne
OCESN8973F2312552:2023-08-29T11:49:37Z,190.0,Paris Montparnasse Hall 1 - 2,La Roche-sur-Yon
OCESN8984F2207857:2023-08-29T11:49:37Z,181.0,La Roche-sur-Yon,Paris Montparnasse Hall 1 - 2
OCESN9203F2239898:2023-10-09T00:43:50Z,244.0,Paris Gare de Lyon Hall 1 - 2,Zuerich HB
OCESN9206F2346712:2023-10-13T00:46:55Z,256.0,Zuerich HB,Paris Gare de Lyon Hall 1 - 2
OCESN9215F2541092:2023-10-13T00:46:55Z,184.0,Paris Gare de Lyon Hall 1 - 2,Basel SBB
OCESN9248F2239577:2023-10-10T00:42:10Z,188.0,Chambéry - Challes-les-Eaux,Paris Gare de Lyon Hall 1 - 2
OCESN9249F2670602:2023-10-10T00:42:10Z,174.0,Paris Gare de Lyon Hall 1 - 2,Chambéry - Challes-les-Eaux
OCESN9261F1817653:2023-10-13T00:46:55Z,238.0,Paris Gare de Lyon Hall 1 - 2,Lausanne
OCESN9264F2148923:2023-10-13T00:46:55Z,225.0,Lausanne,Paris Gare de Lyon Hall 1 - 2
OCESN9401F2388282:2023-10-13T00:46:55Z,227.0,Paris Est,Freiburg (Breisgau) Hbf
OCESN9402F2119927:2023-10-13T00:46:55Z,212.0,Freiburg (Breisgau) Hbf,Paris Est
OCESN9403F2606246:2023-10-13T00:46:55Z,256.0,Paris Gare du Nord,Freiburg (Breisgau) Hbf
OCESN9404F2361363:2023-10-09T00:43:50Z,460.0,Freiburg (Breisgau) Hbf,Bordeaux Saint-Jean
