trip_id,duration,start_station,end_station
OCESN6871F2260183:2023-08-29T11:49:37Z,247.0,toulouse matabiau,lyon part dieu
OCESN6873F2369696:2023-08-29T11:49:37Z,111.0,montpellier saint-roch,lyon part dieu
OCESN6931F1803437:2023-10-12T00:48:35Z,222.0,paris gare de lyon hall 1 - 2,annecy
OCESN6960F2013699:2023-10-13T00:46:55Z,226.0,annecy,paris gare de lyon hall 1 - 2
OCESN7001F1982829:2023-09-12T00:35:02Z,64.0,paris gare du nord,lille flandres
OCESN7002F2308911:2023-10-13T00:46:55Z,64.0,lille flandres,paris gare du nord
OCESN7014F2277078:2023-09-20T00:32:39Z,61.0,lille europe,paris gare du nord
OCESN7087F2548254:2023-10-12T00:48:35Z,65.0,paris gare du nord,lille europe
OCESN7104F2401207:2023-10-13T00:46:55Z,114.0,valenciennes,paris gare du nord
OCESN7155F1959794:2023-10-12T00:48:35Z,104.0,paris gare du nord,valenciennes
OCESN7200F2423174:2023-10-13T00:46:55Z,108.0,tourcoing,paris gare du nord
OCESN7208F2610727:2023-10-13T00:46:55Z,126.0,dunkerque,paris gare du nord
OCESN7251F2038084:2023-10-13T00:46:55Z,122.0,paris gare du nord,dunkerque
OCESN7297F2423171:2023-10-13T00:46:55Z,108.0,paris gare du nord,tourcoing
OCESN7434F2688639:2023-10-13T00:46:55Z,150.0,boulogne sur mer,paris gare du nord
OCESN7522F2374187:2023-10-13T00:46:55Z,176.0,rang-du-fliers - verton - berck,paris gare du nord
OCESN7551F2609376:2023-10-13T00:46:55Z,145.0,paris gare du nord,boulogne sur mer
OCESN7565F2373038:2023-10-13T00:46:55Z,170.0,paris gare du nord,rang-du-fliers - verton - berck
OCESN7591F2423097:2023-10-13T00:46:55Z,129.0,paris gare du nord,calais ville
OCESN7611F2096666:2023-10-10T00:42:10Z,231.0,paris montparnasse hall 1 - 2,brest
OCESN7612F1817975:2023-10-10T00:42:10Z,223.0,brest,paris montparnasse hall 1 - 2
OCESN7615F1843659:2023-08-05T00:42:19Z,250.0,paris montparnasse hall 1 - 2,quimper
OCESN7615F2688547:2023-10-11T00:54:01Z,201.0,paris montparnasse hall 1 - 2,auray
OCESN7616F1954844:2023-08-05T00:42:19Z,252.0,quimper,paris montparnasse hall 1 - 2
OCESN7616F2674088:2023-10-11T00:54:01Z,209.0,auray,paris montparnasse hall 1 - 2
OCESN7621F2099929:2023-10-11T00:54:01Z,137.0,paris montparnasse hall 1 - 2,nantes
OCESN7622F1955138:2023-10-13T00:46:55Z,124.0,nantes,paris montparnasse hall 1 - 2
